Code,Date,Open,High,Low,Close,Volume,Value,Trades,N/A,N/A
XJR,2019-9-23,0,4829.9,4798.6,4805.7,0,0,0,N/A,N/A
XJR,2019-9-24,0,4820.2,4786.1,4788,0,0,0,N/A,N/A
XJR,2019-9-25,0,4788,4713.2,4719.6,0,0,0,N/A,N/A
XJR,2019-9-26,0,4735.3,4677.3,4678.8,0,0,0,N/A,N/A
XJR,2019-9-27,0,4705.9,4673.3,4705,0,0,0,N/A,N/A
XJR,2019-9-30,0,4753.8,4702.9,4704,0,0,0,N/A,N/A
XJR,2019-10-1,0,4710.8,4657.7,4710.8,0,0,0,N/A,N/A
XJR,2019-10-2,0,4710.8,4640,4645.8,0,0,0,N/A,Resources
XJR,2019-10-3,0,4645.8,4539.1,4539.1,0,0,0,N/A,N/A
XJR,2019-10-4,0,4572.6,4539.1,4553.3,0,0,0,N/A,N/A
XJR,2019-10-7,0,4590.7,4553.3,4585.5,0,0,0,N/A,N/A
XJR,2019-10-8,0,4616.7,4585.5,4608.2,0,0,0,N/A,N/A
XJR,2019-10-9,0,4608.2,4556.3,4561,0,0,0,N/A,N/A
XJR,2019-10-10,0,4561.2,4523.7,4542.5,0,0,0,N/A,N/A
XJR,2019-10-11,0,4628.2,4542.5,4607.1,0,0,0,N/A,N/A
XJR,2019-10-14,0,4680.9,4607.1,4656.8,0,0,0,N/A,N/A
XJR,2019-10-15,0,4656.8,4593.4,4602.3,0,0,0,N/A,N/A
XJR,2019-10-16,0,4620.3,4595.8,4608.7,0,0,0,N/A,N/A
XJR,2019-10-17,0,4608.7,4531.2,4531.2,0,0,0,N/A,N/A
XJR,2019-10-18,0,4539.1,4509.6,4516.4,0,0,0,N/A,N/A
XJR,2019-10-21,0,4533.3,4505.5,4527.5,0,0,0,N/A,N/A
XJR,2019-10-22,0,4570.4,4527.5,4568.3,0,0,0,N/A,N/A
XJR,2019-10-23,0,4595.9,4558.9,4579.4,0,0,0,N/A,N/A
XJR,2019-10-24,0,4638.1,4579.4,4612.1,0,0,0,N/A,N/A
XJR,2019-10-25,0,4648.8,4612.1,4635.7,0,0,0,N/A,N/A
XJR,2019-10-28,0,4682.4,4635.7,4660.8,0,0,0,N/A,N/A
XJR,2019-10-29,0,4698.1,4660.8,4678.5,0,0,0,N/A,N/A
XJR,2019-10-30,0,4678.5,4633.6,4638.6,0,0,0,N/A,N/A
XJR,2019-10-31,0,4640.1,4602.6,4625.1,0,0,0,N/A,N/A
XJR,2019-11-1,0,4639.2,4597.6,4637.6,0,0,0,N/A,N/A
XJR,2019-11-4,0,4722,4637.6,4721.2,0,0,0,N/A,N/A
XJR,2019-11-5,0,4767.5,4721.2,4742.6,0,0,0,N/A,N/A
XJR,2019-11-6,0,4770.3,4742.6,4755.5,0,0,0,N/A,N/A
XJR,2019-11-7,0,4756.7,4724,4755.9,0,0,0,N/A,N/A
XJR,2019-11-8,0,4771.1,4741.1,4755.5,0,0,0,N/A,N/A
XJR,2019-11-11,0,4755.5,4731.9,4743.5,0,0,0,N/A,N/A
XJR,2019-11-12,0,4743.5,4702.1,4737.1,0,0,0,N/A,N/A
XJR,2019-11-13,0,4737.8,4682.9,4689.4,0,0,0,N/A,N/A
XJR,2019-11-14,0,4704.5,4646.4,4704.5,0,0,0,N/A,N/A
XJR,2019-11-15,0,4763.7,4700.5,4748.8,0,0,0,N/A,N/A
XJR,2019-11-18,0,4762.1,4733.1,4742.6,0,0,0,N/A,N/A
XJR,2019-11-19,0,4770,4727.7,4770,0,0,0,N/A,N/A
XJR,2019-11-20,0,4770,4701,4717.5,0,0,0,N/A,N/A
XJR,2019-11-21,0,4717.5,4649.3,4673.4,0,0,0,N/A,N/A
XJR,2019-11-22,0,4740.2,4673.4,4725.6,0,0,0,N/A,N/A
XJR,2019-11-25,0,4794.8,4726.8,4771.8,0,0,0,N/A,N/A
XJR,2019-11-26,0,4828.4,4770.8,4808.8,0,0,0,N/A,N/A
XJR,2019-11-27,0,4864.6,4808.8,4862.8,0,0,0,N/A,N/A
XJR,2019-11-28,0,4888.1,4857.6,4873.2,0,0,0,N/A,N/A
XJR,2019-11-29,0,4898.1,4852.9,4852.9,0,0,0,N/A,N/A
XJR,2019-12-2,0,4871.2,4820.5,4854.7,0,0,0,N/A,N/A
XJR,2019-12-3,0,4854.7,4764.8,4789.1,0,0,0,N/A,N/A
XJR,2019-12-4,0,4789.1,4682.3,4705.8,0,0,0,N/A,N/A
XJR,2019-12-5,0,4774.8,4705.8,4760.1,0,0,0,N/A,N/A
XJR,2019-12-6,0,4769.8,4748.2,4760,0,0,0,N/A,N/A
XJR,2019-12-9,0,4835.3,4760,4829,0,0,0,N/A,N/A
XJR,2019-12-10,0,4858.2,4829,4842,0,0,0,N/A,N/A
XJR,2019-12-11,0,4875.9,4842,4874.1,0,0,0,N/A,N/A
XJR,2019-12-12,0,4885.4,4858.8,4873.5,0,0,0,N/A,N/A
XJR,2019-12-13,0,4944.1,4873.5,4927.4,0,0,0,N/A,N/A
XJR,2019-12-16,0,5005.1,4927.4,4992.9,0,0,0,N/A,N/A
XJR,2019-12-17,0,5012.7,4988.3,4997.3,0,0,0,N/A,N/A
XJR,2019-12-18,0,5005.9,4982.3,4991.4,0,0,0,N/A,N/A
XJR,2019-12-19,0,4996.5,4971.5,4977,0,0,0,N/A,N/A
XJR,2019-12-20,0,4991,4966.3,4976.8,0,0,0,N/A,N/A
XJR,2019-12-23,0,4976.8,4913.5,4919.1,0,0,0,N/A,N/A
XJR,2019-12-24,0,4952.8,4919.1,4945.3,0,0,0,N/A,N/A
XJR,2019-12-27,0,5001,4945.3,4992.5,0,0,0,N/A,N/A
XJR,2019-12-30,0,4992.5,4946.1,4974.5,0,0,0,N/A,N/A
XJR,2019-12-31,0,4974.5,4922.2,4922.2,0,0,0,N/A,N/A
XJR,2020-1-2,0,4942.6,4908.2,4924.4,0,0,0,N/A,N/A
XJR,2020-1-3,0,4981.3,4924.4,4967.9,0,0,0,N/A,N/A
XJR,2020-1-6,0,5020.6,4949.7,5018.3,0,0,0,N/A,N/A
XJR,2020-1-7,0,5048.1,5015.8,5041.9,0,0,0,N/A,N/A
XJR,2020-1-8,0,5074.3,5038.7,5066.2,0,0,0,N/A,N/A
XJR,2020-1-9,0,5090.4,5051.7,5077.1,0,0,0,N/A,N/A
XJR,2020-1-10,0,5077.1,5038.6,5064.9,0,0,0,N/A,N/A
XJR,2020-1-13,0,5064.9,5020.1,5037.5,0,0,0,N/A,N/A
XJR,2020-1-14,0,5097.3,5037.5,5097.3,0,0,0,N/A,N/A
XJR,2020-1-15,0,5128.6,5097.3,5119.6,0,0,0,N/A,N/A
XJR,2020-1-16,0,5132.8,5107.9,5119.6,0,0,0,N/A,N/A
XJR,2020-1-17,0,5167.8,5119.6,5162.7,0,0,0,N/A,N/A
XJR,2020-1-20,0,5234.2,5162.7,5220.8,0,0,0,N/A,N/A
XJR,2020-1-21,0,5220.8,5191.4,5215.2,0,0,0,N/A,N/A
XJR,2020-1-22,0,5251.2,5186.8,5240.8,0,0,0,N/A,N/A
XJR,2020-1-23,0,5245.7,5167.4,5182.1,0,0,0,N/A,N/A
