Code,Date,Open,High,Low,Close,Volume,Value,Trades
XHJ,2019-9-23,0,36132.7,35749.2,36007.4,0,0,0
XHJ,2019-9-24,0,36338.9,36006.3,36202.1,0,0,0
XHJ,2019-9-25,0,36202.1,35725,36006,0,0,0
XHJ,2019-9-26,0,36023.3,35526.5,35630.6,0,0,0
XHJ,2019-9-27,0,35913.6,35590,35718.5,0,0,0
XHJ,2019-9-30,0,35839.9,35551.5,35653.6,0,0,0
XHJ,2019-10-1,0,36395.9,35642.4,36395.9,0,0,0
XHJ,2019-10-2,0,36395.9,35788,35821.4,0,0,0
XHJ,2019-10-3,0,35821.4,34761.7,35022.9,0,0,0
XHJ,2019-10-4,0,35892.7,35021.7,35832.4,0,0,0
XHJ,2019-10-7,0,36287.8,35832.4,36287.6,0,0,0
XHJ,2019-10-8,0,36469.5,36269,36469.5,0,0,0
XHJ,2019-10-9,0,36469.5,35769.5,36402.8,0,0,0
XHJ,2019-10-10,0,36557.2,36227.7,36501.2,0,0,0
XHJ,2019-10-11,0,37129.5,36501.2,36973,0,0,0
XHJ,2019-10-14,0,37385.5,36860.1,36937,0,0,0
XHJ,2019-10-15,0,37503.9,36767.6,37445.1,0,0,0
XHJ,2019-10-16,0,38246.9,37445.1,38182.4,0,0,0
XHJ,2019-10-17,0,38685.3,37909.3,37978.5,0,0,0
XHJ,2019-10-18,0,38145.7,37590.2,37756.7,0,0,0
XHJ,2019-10-21,0,37828.7,37491.8,37662.4,0,0,0
XHJ,2019-10-22,0,37816.3,37406.1,37624.6,0,0,0
XHJ,2019-10-23,0,37678.7,37066.6,37481.4,0,0,0
XHJ,2019-10-24,0,37811.6,37479.7,37704.1,0,0,0
XHJ,2019-10-25,0,38521.8,37704.1,38398.5,0,0,0
XHJ,2019-10-28,0,38721.2,38398.5,38436.8,0,0,0
XHJ,2019-10-29,0,38812.6,38355.4,38547.9,0,0,0
XHJ,2019-10-30,0,38612.8,38312.2,38361.5,0,0,0
XHJ,2019-10-31,0,38671.9,38315.7,38356.8,0,0,0
XHJ,2019-11-1,0,38784.2,38356.8,38763.2,0,0,0
XHJ,2019-11-4,0,39219.1,38763.2,38897.3,0,0,0
XHJ,2019-11-5,0,39288.9,38865.5,39087,0,0,0
XHJ,2019-11-6,0,39293.1,38693.7,38693.7,0,0,0
XHJ,2019-11-7,0,39096.2,38674.7,39096.2,0,0,0
XHJ,2019-11-8,0,39134.1,38824.9,39066.3,0,0,0
